id,qualified_name,source_labels,kind,domain,group_order,point_count,real_dimension,complex_dimension,rank,carrier_real_dimension,standing,definition,formula_or_action,boundary,source_ids
s3-mode,Event phase-Mode permutation action,"[""S3"", ""S_3""]",finite action,The six registered event frames,6,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The specified order-three phase and reversal give the six-element action described in the Mode section. It remains a finite action on event frames, not a universal physical time symmetry.","<C_evt,M_evt>; M_evt C_evt M_evt=C_evt^-1",Distinct from companion three-cover monodromy and abstract Klein triality.,"[""MODE""]"
s3-section,Three-section factor permutation symmetry,"[""S3"", ""S_3""]",action factor,X3 in the twelve-section closure surface,6,3,,,,,Source-recorded; original producer not re-executed in this sweep.,The full three-point factor symmetry supplied in the X3 x X4 presentation. It permutes closure-section coordinates and participates in the S3 x D8 product action.,Sym(X3) ~= S3,An isomorphic event-phase action does not imply identical section objects.,"[""OLDER_SECTION_SURFACE""]"
s3-monodromy,Companion three-cover monodromy action,"[""S3"", ""S_3""]",quotient/monodromy action,Three-cover companion construction in the infrared manuscript,6,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The six-element monodromy giving a real regular representation and protected real-rank4 E-isotypic sector. The source places this below a 720-element companion group, not the native order480 group.",R[S3]=1+1prime+E+E; E-isotypic real rank4,No arbitrary microscopic G60/G1800 transport factoring through it is claimed.,"[""COMPANION_TRIALITY""]"
s5-native-quotient,Native five-address quotient symmetry,"[""S5"", ""S_5"", ""s5""]",quotient group/action,Aut(G60)/V4_nat on the canonical five-address register,120,5,,,,,Source-recorded; original producer not re-executed in this sweep.,"The faithful quotient factor used throughout the native symmetry architecture. Its induced actions on five addresses, six Sylow-five axes and other domains must be named independently.",1->V4_nat->Aut(G60)->S5->1,"The abstract group is shared; action spaces of sizes5,6,12,15 are not thereby identical.","[""FP"", ""CONF_ACTION"", ""COVER""]"
s5-six-axes,Six-Sylow-axis quotient permutation action,"[""S5"", ""S_5""]",permutation representation,Six intrinsic Sylow-five subgroup objects,120,6,,,,,Source-recorded; original producer not re-executed in this sweep.,"The quotient acts by subgroup conjugation, giving the six-axis permutation action used in the conference comparison. It is the same quotient group with a different domain.",g:C5_i -> g C5_i g^-1,Preserve the specific axis relabeling and signed lift separately.,"[""CONF_ACTION""]"
s5-analyzer-sectors,Two-sector projective analyzer symmetry,"[""S5"", ""S_5"", ""G_sec""]",finite projective symmetry group,Two conference sectors with signed switchings,120,,,,,,Source-recorded; original producer not re-executed in this sweep.,The sector group of order120 with an index-two A5 sector-preserving subgroup. Its center is trivial; source comparison to native face actions is not a selected operator binding.,G_sec ~= S5; M C M^T=+/-C,Not the order120 signed within-sector extension A5 x C2.,"[""SIGNED_AXIS""]"
a5-axis-base,Within-sector projective analyzer base group,"[""A5"", ""A_5""]",finite projective action,One six-axis conference sector,60,,,,,,Source-recorded; original producer not re-executed in this sweep.,The sixty within-sector switchings form the source base group A5. A section into signed matrices may initially have a global sign factor set; the source rephases that section.,60 switchings; signed extension A_e ~= A5 x C2,This A5 action is not a 60-vertex G60 carrier.,"[""SIGNED_AXIS""]"
signed-axis-extension,Split within-sector signed-axis extension,"[""A5 x C2"", ""A_e"", ""A_tilde""]",finite matrix group,Six signed analyzer coordinates / either rank-three eigenspace,120,,,,,,Source-recorded; original producer not re-executed in this sweep.,The doubled group of signed matrices {+/-M_g}; source rephasing shows a split extension with central global reversal.,1->C2->A_e->A5->1; A_e ~= A5 x C2,"Not G_sec, the common-cover graph, or the 120 bare face incidences.","[""SIGNED_AXIS""]"
a4-kernel-color,Tetrahedral factor in kernel color symmetry,"[""A4"", ""A_4""]",semidirect-product action factor,Even-parity binary translations and three-cell rotation in X12_kernel,12,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The normalized kernel calculation splits the shift kernel into a diagonal line and a two-dimensional even-parity plane. The plane plus rotation gives V4 semidirect C3, identified as A4.",V4_even semidirect C3 ~= A4,Not a raw adjacency A4 move operator or generic fourth indexed observable.,"[""KERNEL""]"
kernel-color-group,Rank-eight kernel color-preserving group,"[""C2 x A4"", ""C2"", ""A4""]",finite automorphism group,The eight colored relations on X12_kernel,24,12,,,,,Source-recorded; original producer not re-executed in this sweep.,"The order24 color group, acting transitively on12points with point stabilizer2. It is smaller than the full fused graph group, because it retains relation colors.","(i,x)->(i+r,x+(b_(i+1),b_i)); r in Z3,b in F2^3",Do not identify the full fused symmetry with the color group.,"[""KERNEL""]"
a3-mode-subgroup,Alternating three-frame phase subgroup,"[""A3"", ""A_3""]",cyclic subgroup view,Even permutations in the specified event S3 action,3,,,,,,Source-recorded; original producer not re-executed in this sweep.,"A3 is the alternating subgroup of the event-frame S3; where the phase generator is specified, it is that order-three cyclic subgroup.",A3=<C_evt> within the declared event action,Not the A3 root-system comparison target or fused distance-three adjacency.,"[""MODE""]"
a3-root-target,A3 outer-root-reversal comparison target,"[""A3"", ""A_3""]",referenced root-system operation,Higher four-complex-dimensional/Weyl comparison mentioned in the reflection audit,,,,,,,"Unresolved comparison target, not a certified operator.",The selected antiunitary audit explicitly lists an A3 outer root reversal as a separate target not derived there. The spelling does not mean the order-three alternating group.,No full C^4 A3 outer operator derived in 201H67B,"Keep as a named target; no matrix, root embedding or identification is supplied.","[""REFLECTION""]"
g60-native,Thalion native graph carrier,"[""G60"", ""G_60"", ""AT4val[60,6]""]",finite graph,Native60vertex graph,,60,,,,,Source-recorded; original producer not re-executed in this sweep.,"The quartic carrier at the center of the inherited work. The label G60 names its vertices and edges, not its automorphism group, vector space dimension in every representation, or a general arbitrary60state model.","G60=AT4val[60,6]; 60 vertices,120 edges",The 480-element symmetry group and the 60-element analyzer base group are different objects.,"[""EPR"", ""COVER"", ""ANALYZER""]"
g30-original,Original native central-deck quotient graph,"[""G30"", ""G_30""]",finite quotient graph,G60/<a> in the inherited native tower,,30,,,,,Source-recorded; original producer not re-executed in this sweep.,"The named two-fold quotient in the original tower, identified in the manuscript as L(Dodecahedron). The cover-family intermediate Q30 is not this graph.",G30=G60/<a>; original G30=L(Dodecahedron),Same thirty-vertex count as Q30 is not identity.,"[""COVER"", ""CORE""]"
g15-native,Native Klein quotient / Petersen line graph,"[""G15"", ""G_15""]",finite quotient graph,G60/V4_nat,,15,,,,,Source-recorded; original producer not re-executed in this sweep.,"The fifteen-chamber quotient with thirty edges, identified as the Petersen line graph. Its vertices can be represented as Petersen edges using the declared isomorphism.",G15 ~= L(Petersen),Quotient-visible relations need not retain all native lifted signs.,"[""EPR"", ""COVER""]"
q30-family,Common cover-family thirty-vertex intermediate,"[""Q30"", ""Q_30""]",finite graph,Common AT4val-family cover diagram,,30,,,,,Source-recorded; original producer not re-executed in this sweep.,The family intermediate identified as L(CDC(Petersen)). The source expressly distinguishes it from original G30.,Q30=L(CDC(Petersen)),No consolidation with G30 merely through shared size or tetravalency.,"[""COVER""]"
k120-common-cover,Common AT4val-family bipartite cover graph,"[""K120"", ""K_120"", ""mathsfK120"", ""C4[120,38]""]",finite graph,Census family comparison of the three sixty-vertex children,,120,,,,,Source-recorded; original producer not re-executed in this sweep.,"The custom named common cover K120 has120vertices240edges and is represented by census C4[120,38]. It is not the complete graph on120vertices.","K120=CDC(G60) in the stated chart; census C4[120,38]",Never expand this custom K120 to complete-graph notation K_n. Also distinguish the unresolved 201EZ K120 group-locator label.,"[""COVER"", ""CENSUS_REPORT""]"
g-family-4,Sixty-vertex census-family child 4,"[""G4"", ""G_4"", ""AT4val[60,4]""]",finite graph,Quotient K120/<tau_4>,,60,,,,,Source-recorded; original producer not re-executed in this sweep.,"The subscript 4 identifies a census-family child, not the number of vertices. All three children here have sixty vertices. Its quotient involution and census identity are retained separately.",G_4=K120/<tau_4>,Distinct central quotient involutions are not conjugated into each other by the same cover automorphism group.,"[""COVER"", ""CENSUS_REPORT""]"
g-family-5,Sixty-vertex census-family child 5,"[""G5"", ""G_5"", ""AT4val[60,5]""]",finite graph,Quotient K120/<tau_5>,,60,,,,,Source-recorded; original producer not re-executed in this sweep.,"The subscript 5 identifies a census-family child, not the number of vertices. All three children here have sixty vertices. Its quotient involution and census identity are retained separately.",G_5=K120/<tau_5>,Distinct central quotient involutions are not conjugated into each other by the same cover automorphism group.,"[""COVER"", ""CENSUS_REPORT""]"
g-family-6,Sixty-vertex census-family child 6,"[""G6"", ""G_6"", ""AT4val[60,6]""]",finite graph,Quotient K120/<tau_6>,,60,,,,,Source-recorded; original producer not re-executed in this sweep.,"The subscript 6 identifies a census-family child, not the number of vertices. All three children here have sixty vertices. The source identifies child6 with the native G60 graph.",G_6=K120/<tau_6>,Distinct central quotient involutions are not conjugated into each other by the same cover automorphism group.,"[""COVER"", ""CENSUS_REPORT""]"
g1800-family,Registered two-factor native product quotient family,"[""G1800"", ""G_1800"", ""Y1800""]",finite graph family,"(G60 square G60)/diag<d>, with d and ordered registration declared",,1800,,,,,Source-recorded; original producer not re-executed in this sweep.,There are three native quotient kernels and six ordered axis registrations in the retained construction. The label names a family unless the kernel and register are supplied. It is not an operator K or its900state shadow.,"Y_d=(G60 square G60)/diag<d>; d in {a,b,ab}","Record the quotient fibers, kernel, native labeling and ordered registration for every selected instance.","[""FRAMES"", ""EPR""]"
g900-associated,Associated Delta quotient of a registered G1800 carrier,"[""G900"", ""G_900""]",finite quotient graph family,G1800/<Delta_1800> for the declared registration,,900,,,,,Source-recorded; original producer not re-executed in this sweep.,The associated900state graph obtained from the free involution. Its relationship to other historical G900 registry/viewer objects requires their exact body/source mapping; the count is not enough.,q(x)=q(Delta_1800 x),Not the sending receipt delta_e or an automatically universal G900 across all project versions.,"[""FRAMES"", ""CORE""]"
g9000-registered,Registered five-frame native groupoid carrier,"[""G9000"", ""G_9000""]",registered finite groupoid state set,Five transported G1800 frames,,9000,,,,,Source-recorded; original producer not re-executed in this sweep.,"The9000states consist of five1800state frames. Four transport choices and six axis registrations give24raw arrays, not24timesmore state capacity. Native coordinate trivialization makes inter-frame comparisons explicit.","F_reg(f,x)=(f+1,K_1800 x)","Not one canonical unlabeled9000vertex graph, nor five of the six analyzer axes.","[""FRAMES""]"
x12-sections,Twelve-section closure surface state set,"[""X12"", ""X_12"", ""X3 x X4""]",structured finite set,Original registered closure-section construction,,12,,,,,Source-recorded; original producer not re-executed in this sweep.,A source-supplied3by4set with a specified S3 x D8 action and a K12-minus-matching section graph. Its incidence/cochain structure is part of its view.,X12_sections ~= X3 x X4,"Not automatically the normalized relational-kernel points, twelve pentagon generators, twelve phase pairs or a twelve-dimensional module.","[""OLDER_SECTION_SURFACE""]"
x12-kernel,Twelve-point normalized relational-kernel carrier,"[""X12"", ""X_12"", ""Z3 x V4""]",structured finite set,Normalized rank-eight coherent configuration,,12,,,,,Source-recorded; original producer not re-executed in this sweep.,"The12points(i,x1,x2) carry eight specified relations. Its normalized coordinate description is the source for the noncommuting adjacency algebra and the icosahedral fusion.",X12_kernel=Z3 x F2^2,A common size and3x4factorization do not by themselves identify the earlier closure surface.,"[""KERNEL""]"
twelve-pair-descriptors,Twelve directed-pair descriptor bins,"[""X12_descriptor"", ""3x2x2""]",partition of pairs,Cross-cell ordered pairs of X12_kernel,,,,,,,Source-recorded; original producer not re-executed in this sweep.,"Each descriptor(i,forward/reverse,c) bins eight ordered pairs. There are12bins and96cross-cellpairs. These are not12additional point states.",12 bins x8 pairs=96 cross-cellpairs; plus48within-cellpairs=144,Keep pair bins distinct from point sets and spectral dimensions.,"[""KERNEL""]"
twelve-face-phases,Twelve face/relative-orientation objects,"[""phase_state_count_12"", ""12_phase_objects"", ""6K2_domain"", ""S12""]",structured finite set,Six native faces times two relative-complex-orientation states,,12,,,,,Source-recorded; original producer not re-executed in this sweep.,"The face gauge-envelope construction has12objects, with a native action and stabilizer40. The same-face phase-flip relation is6K2; other orbitals are twoK6 and a crown.","6 faces x2phasechoices; suborbit profile[1,1,5,5]",This is not the four cosets of Gamma_hist or the twelve-pentagon cycle space.,"[""CONNECTION"", ""FACE""]"
six-k2,Six same-face phase-flip edges,"[""6K2"", ""6K_2""]",finite orbital graph,The twelve face/relative-orientation objects,,12,,,,,Source-recorded; original producer not re-executed in this sweep.,"Six disjoint two-vertex complete graphs, one for each same-face phase flip. This is the connection domain selected in the source, not a group named6K2.",6K2 = disjoint union of six K2,Source selects local transports here; crown and same-phase connection choices remain separately open.,"[""CONNECTION""]"
two-k6,Same-phase complete-component orbital,"[""2K6"", ""2K_6""]",finite orbital graph,"Twelve face/phase objects, grouped by phase",,12,,,,,Source-recorded; original producer not re-executed in this sweep.,The union of two complete six-vertex components representing same-phase adjacency. It is not the same-face6K2relation and does not inherit its selected connection automatically.,2K6,The source explicitly leaves the twoK6connection unselected.,"[""CONNECTION""]"
face-crown,Opposite-phase different-face crown orbital,"[""K6,6-M6"", ""K_{6,6}-M_6"", ""M6""]",finite orbital graph,Twelve face/phase objects,,12,,,,,Source-recorded; original producer not re-executed in this sweep.,"The opposite-phase crown: complete bipartite six-by-six with the same-face matching removed. M6 means the matching in this expression, not a six-dimensional matrix algebra.","K6,6 minus a six-edge perfect matching",An isomorphic crown appears as support of the history operator; no domain map follows from graph isomorphism alone.,"[""CONNECTION""]"
history-crown,Registered-pentagon conference support graph,"[""crown12"", ""K6,6-M6""]",support graph of a matrix,Twelve registered pentagon coefficient generators,,12,,,,,Source-recorded; original producer not re-executed in this sweep.,The nonzero pattern of K_hist is a connected crown graph. Its bipartition is the six b versus six ab generators. Signs and Gram values add information beyond this graph.,Support(K_hist);12vertices30edgesdegree5,Not identical to the face-phase crown orbital absent a map between its vertices.,"[""HIST""]"
k4-matching,Four-point complete graph used for local pairings,"[""K4"", ""K_4""]",comparison graph,Four elements of a local Klein cell,,4,,,,,Source-recorded; original producer not re-executed in this sweep.,"The three nonidentity Klein translations correspond to the three perfect matchings of K4. The complete graph is a representation of pairings, not itself the V4 action group.",Three perfect matchings of K4,Not quaternionic generator K4 or a census catalogue code.,"[""BASE"", ""CORE""]"
k12-complete-parent,Complete twelve-point graph used as a section-graph parent,"[""K12"", ""K_12""]",graph notation,Parent in K12 minus perfect matching,,12,,,,,Source-recorded; original producer not re-executed in this sweep.,"The section source uses complete-graph notation here, unlike custom K120. The actual section graph removes a matching, so the complete parent and the section graph are distinct objects.",Section graph = K12 - perfect matching,Do not parse every K followed by a number as this family; K120 is custom.,"[""OLDER_SECTION_SURFACE""]"
prism-support,Minimal binary-support hexagonal prism graph,"[""C6 square K2"", ""C_6 square K_2""]",finite graph,Weight-eighteen binary support in the section closure discussion,,12,,,,,Source-referenced support graph; exact original support source not reproduced.,"The integrated draft refers to two minimum-weight binary supports, each isomorphic to a hexagonal prism. In this graph expression C6 is the six-cycle graph and K2 the two-vertex complete graph, not selected cyclic group actions.","C6 square K2, twelve vertices and eighteen edges",The original support certificate is not rerun. Preserve the graph/encoding map rather than merging this C6 with a phase group.,"[""MACRO_EXCERPT""]"
census-c4,C4 tetravalent census catalogue prefix,"[""C4[120,38]"", ""C4[60,4]"", ""C4""]",catalogue namespace,Census identifiers for graphs,,,,,,,Naming/type convention from source catalogue usage.,C4 in a bracketed census identifier is part of the catalogue name. The bracket arguments and linked graph determine the object. It is not a four-element cyclic group.,"C4[n,index]","Never normalize catalogue C4[n,i] into group C_4.","[""COVER""]"
k120-group-locator,201EZ order-120 classification locator,"[""K120""]",unresolved source-linked label,Referenced project41_K120_C2xA5_classification_receipt_201ez,,,,,,,Source-locator-only; no object identity assigned.,The face-field checkpoint refers to a K120 classification with C2xA5 in its filename. The full 201EZ payload is not in the recovered source corpus. Retain a separate locator bin rather than silently identify it with the common-cover graph or signed-axis group.,Source key K120_classification -> ...201ez.v1.json,"Exact referent, action and identity with any120element group require the missing source.","[""FACE""]"
frame-contrast,Five-frame golden contrast operator,"[""K5"", ""K_5""]",linear operator,Nontrivial frame harmonics of the registered G9000 carrier,,,,,,,Exact algebra conditional on declared S; native/current-to-history binding open.,"The contrast polynomial in the pure frame shift. Its square is5times the event projector, not5I on the whole9000space.",K5_frame=S+S^-1-S^2-S^-2; K5_frame^2=5P_evt,Candidate native bridge remains open; not the historical-register contrast by state identity.,"[""CHAT"", ""CORE""]"
history-fivefold-contrast,Historical-register golden contrast operator,"[""K5"", ""K_5""]",linear operator,Representation of the historical D5 rotation s,,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The same formal group-ring expression evaluated in the historical fivefold representation. Sharing the polynomial with the frame operator yields an algebraic template, not a native carrier identification.",K5_history=s+s^-1-s^2-s^-2,Keep distinct until the historical s and frame S have an explicit compatible action map.,"[""HISTORICAL_FIVEFOLD""]"
frame-difference,Real five-frame oriented difference operator,"[""D5"", ""D_5""]",real linear operator,R^1800 tensor R[C5] in the frame proposal,,,,,,,Conditional frame-algebra construction.,The skew-symmetric difference of forward and inverse pure frame shifts. Its kernel is the common frame mode; it is not a dihedral group.,D5_frame=S-S^-1; D5_frame^T=-D5_frame,Not operational information current merely because the archive calls it a current. A norm-square readout still needs its own measure/instrument justification.,"[""CHAT"", ""CORE""]"
frame-hermitian-current,Hermitian five-frame current operator,"[""H5"", ""H_5""]",complex linear operator,Complexification of the five-frame carrier,,,,,,,Conditional frame-algebra construction.,"The operator iD5, self-adjoint in the declared complexification. Complexification resolves current-sign character modes without changing the real Gram norm.",H5_frame=i(S-S^-1); H5_frame^2=D5_frame^T D5_frame,Not H5 as a fifth isotropy subgroup or a five-dimensional history.,"[""CHAT"", ""CORE""]"
frame-golden-involution,Normalized five-frame golden involution,"[""J5"", ""J_5""]",linear operator,Event subspace only,,,,,,,Conditional frame-algebra construction.,The contrast divided by sqrt5. It squares to the event projector on the full carrier and to identity only after restriction.,J5=K5/sqrt5; J5^2=P_evt,"Not the skew complex structure J_F, whose square is -I.","[""CHAT"", ""CORE""]"
frame-current-sign,Five-frame conjugate-mode sign observable,"[""R5"", ""R_5""]",spectral sign operator,Complex event harmonics,,,,,,,Conditional spectral construction; native outcome readout open.,"The sign of H5 distinguishes the two complex-conjugate modes within each golden sector. It commutes with J5. Defining it on the zero mode requires a separate convention, so its stated domain is the event sector.",R5=sgn(H5); R5^2=P_evt,Not real5space R^5; not the reverse relation family R_c.,"[""CHAT"", ""CORE""]"
frame-multiplier,Five-frame index-doubling permutation,"[""U2"", ""U_2""]",coordinate permutation,"The frame residue f in Z5, with internal x retained",,,,,,,Candidate coordinate action; native admission open.,"The multiplier f->2f is a permutation of frame coordinates and conjugates S to S^2. It is not U(2), and native admissibility as a groupoid operation has not been certified here.","U2(f,x)=(2f mod5,x)",Not the derived involution Z5 or a selected registered step F.,"[""CHAT"", ""CORE""]"
frame-sector-exchange,Piecewise five-frame golden-sector exchange,"[""Z5"", ""Z_5""]",linear involution construction,The frame event subspace with P+ and P-,,,,,,,Conditional operator construction; native provenance open.,The piecewise use of U2 in one direction and U2 inverse in the other creates an involution exchanging golden sectors. It is neither the raw multiplier nor the residue group Z_5.,Z5=P- U2 P+ + P+ U2^-1 P-; Z5 J5=-J5 Z5,Matching history Clifford relations is not the native history intertwiner.,"[""CHAT"", ""CORE""]"
frame-common-projector,Frame-common zero-current projector,"[""P0"", ""P_0""]",orthogonal projector,Full9000dimensional frame representation,,,,,1800,9000,Conditional frame representation.,The average of the five pure shifts projects onto vectors constant in the frame coordinate. Its rank is1800 in the proposed full carrier.,P0=(I+S+S^2+S^3+S^4)/5,"P0 is an operator, not an1800element subset or a physical observer.","[""CHAT"", ""CORE""]"
frame-harmonic-72,Seventy-two-degree real frame harmonic,"[""V72"", ""V_72""]",real representation plane,Real regular C5 module before internal multiplicity,,,2,,,,Conditional C5 harmonic notation.,"The conjugate character pair {1,4} forms a real2plane. The72label is an angle; after tensoring withR1800 its real dimension is3600.","V72: k=1,4",The subscript is not the dimension72 or an axis index.,"[""CHAT""]"
frame-harmonic-144,One-hundred-forty-four-degree real frame harmonic,"[""V144"", ""V_144""]",real representation plane,Real regular C5 module before internal multiplicity,,,2,,,,Conditional C5 harmonic notation.,"The conjugate pair{2,3} forms the other real2plane, with full-carrier multiplicity1800.","V144: k=2,3",Not a144state set or144dimensional independent carrier.,"[""CHAT""]"
frame-character-blocks,Complex five-frame character block family,"[""E1"", ""E2"", ""E3"", ""E4"", ""E_1"", ""E_2"", ""E_3"", ""E_4""]",complex invariant subspaces,Complexified C5 frame representation,,,,1800,,,Conditional frame representation.,"The four nontrivial characters are distinct complex one-dimensional modules before internal multiplicity and complex 1,800-dimensional blocks afterward. Conjugate pairs form the two real harmonic sectors. These subspaces are not automatically four real outcome-state sets.","E_k: S eigenvalue exp(2*pi*i*k/5); k=1,2,3,4","Do not merge E2 with the native face E2 real representation plane, with a generic event E_2, or with the equation file E02.","[""CHAT""]"
history-clifford-j2,Two-by-two signed history-sheet phase matrix,"[""J2"", ""J_2""]",real matrix,Sheet factor in the reported full history/analyzer chart,,,2,,,,Explicit matrix; full native-action placement is conversation-reported.,The explicit square-minus-identity matrix used in the reported history-sheet factor. Its formula is unambiguous. Its placement in the newest full native action and the associated cocycle cancellation remains conversation-reported pending the original producer/action tables.,"J2=[[0,1],[-1,0]]; J2^2=-I2","Not the two-state history alphabet, the normalized frame J5, or a canonical identification of every real complex structure.","[""CHAT"", ""CORE""]"
g1800-operator,Registered native product quarter-turn operator,"[""K1800"", ""K_1800"", ""K""]",permutation / induced linear operator,One G1800 ordered deck registration,,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The actual map descending from(u,v)->(ab(v),b(u)) in the source registration. An operator, its generated C4 group and its orbits are separate views.",K^2=Delta_1800; K^4=I,Do not treat K and G1800 as aliases; one acts on the other.,"[""FRAMES""]"
fusion-adjacencies,Icosahedral fused distance adjacency matrices,"[""A0"", ""A1"", ""A2"", ""A3"", ""A_0"", ""A_1"", ""A_2"", ""A_3""]",matrix family,The twelve-point relational-kernel carrier,,,,,,,Source-recorded; original producer not re-executed in this sweep.,The four graph-distance matrices formed by the specified fusion of the eight colored relations. Index zero denotes the identity relation; indices one to three denote graph distance. These are actual matrices on the twelve-point kernel carrier.,A0=A_T0; A1=A_Tu+A_F0+A_R0; A2=A_Tv+A_F1+A_R1; A3=A_Tu+v,"A3 here is a distance-three matrix, not the alternating group A3 or the A3 root-system target.","[""KERNEL""]"
binary-analyzer-local,Local binary analyzer observable families,"[""A0"", ""A1"", ""B0"", ""B1"", ""A_0"", ""A_1"", ""B_0"", ""B_1""]",observable / response family,Alice and Bob settings in their explicitly represented experiment,,,,,,,Source-recorded; original producer not re-executed in this sweep.,The setting-indexed local observable or classical response families in a CHSH comparison. Classical functions of hidden history and quantum operators are different implementations; keep that representation qualification.,A_i; B_j; CHSH=A0(B0+B1)+A1(B0-B1),"Do not identify A0,A1 with fusion matrices or face-circle generators. A local operator is not an admitted physical instrument by notation.","[""EPR"", ""MEASURE""]"
anchor-circle-generators,Event-anchor circle Lie generators,"[""A0"", ""A1"", ""A_0"", ""A_1""]",Lie-algebra operator pair,Two positive event vectors in the complex face doublet,,,2,,,,Source-recorded; original producer not re-executed in this sweep.,The two point-stabilizer circles have generators A0 and A1. Their sum is centralJ and difference is the event-defined neutralSU2axisT. These are not the two EPR settings.,A0=(J-T)/2; A1=(J+T)/2,The source has no physical coupling metric or hypercharge identification.,"[""CIRCLES"", ""NEUTRAL"", ""REFLECTION""]"
quaternionic-face-axes,Derived quaternionic face-axis generators,"[""K1"", ""K2"", ""K3"", ""K_1"", ""K_2"", ""K_3""]",operator-frame family,Derived su(2)-type part of the face U(2) envelope,,,,,,,Source-recorded; original producer not re-executed in this sweep.,"Three native derived axes in the face-envelope calculation, normalized as T_i=K_i/2. Their labels are not complete graphs or equation tags.","K1,K2,K3; T_i=K_i/2; Casimir=3/4",No identification with physical weak isospin or a measured spatial frame follows.,"[""CONNECTION"", ""NEUTRAL""]"
quaternionic-normalized-generators,Normalized derived face Lie generators,"[""T1"", ""T2"", ""T3"", ""T_1"", ""T_2"", ""T_3""]",Lie-generator family,Same face-derived su(2) module,,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The half-scaled generators associated with the K_i operator frame. Scaling is an explicit relation, not an alias that can be used interchangeably in formulas.",T_i=K_i/2,Not macro T10/T12 or kernel translation T0.,"[""CONNECTION"", ""NEUTRAL""]"
kernel-forward,Forward binary relations of the normalized kernel,"[""F0"", ""F1"", ""F_0"", ""F_1""]",binary relation / adjacency family,Ordered cross-cell pairs of X12_kernel,,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The binary index c records a constraint between a source first bit and target second bit while the cell index advances. Each source retains multiple allowed targets. This is a relation and its adjacency matrix, not a uniquely chosen execution.",F_c: i->i+1 and x1+y2=c,"Not a power of F_reg, a chronological event, or the F1/F2 equation-tag family.","[""KERNEL""]"
kernel-reverse,Reverse binary relations of the normalized kernel,"[""R0"", ""R1"", ""R_0"", ""R_1""]",binary relation / adjacency family,Ordered cross-cell pairs of X12_kernel,,,,,,,Source-recorded; original producer not re-executed in this sweep.,The reverse direction uses the source second bit and target first bit. Its adjacency matrix is the transpose of the corresponding forward matrix. Relation reversal has not been identified with the separate point action called Mode.,R_c=F_c^T,"R1 is not primitive winding class r1, the native exchange-square residual, or a real one-dimensional space.","[""KERNEL""]"
kernel-identity-relation,Within-cell identity translation relation,"[""T0"", ""T_0""]",binary relation / identity matrix,Diagonal pairs of X12_kernel,,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The identity member of the four within-cell translation relations. Every point is related to itself, and the corresponding adjacency matrix is identity on the twelve-point function space.","T0={((i,x),(i,x))}","Not the T10 macro transport, an initial event, or a time origin.","[""KERNEL""]"
cochain-coboundaries,Discrete cochain incidence/coboundary operators,"[""D0"", ""D1"", ""D2"", ""D_0"", ""D_1"", ""D_2""]",linear map family,A specified cell complex in the discrete Maxwell comparison,,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The incidence or coboundary maps connecting successive cochain degrees in the separately declared discrete Maxwell comparison. Their composition vanishes on the specified chain complex. Matrix conventions, dimensions and the cell complex are part of each instance.",D_(k+1) D_k = 0 for composable cochain degrees,"Not dihedral groups, the frame D5 current, or the scalar face disagreement D2.","[""MAXWELL""]"
face-disagreement,Six-face quadratic disagreement scalar,"[""D2""]",scalar functional,Binary six-face field and continuous R^6 lift,,,,,,,Source-recorded; original producer not re-executed in this sweep.,The six-face alignment measure defined from the native phase pair. On binary fields it counts pairwise disagreements; the source gives its transverse quadratic rendering in a continuous real six-dimensional lift. Here the digit two is associated with quadratic degree.,D2(x) = sum_(i<j) (1-s_i s_j x_i x_j)/2 = (3/2) x^T P_perp x,Not the Maxwell degree-two incidence map. The continuous potential does not by itself supply physical energy.,"[""FACE""]"
analyzer-z3,Three-dimensional canonical analyzer Z reflection,"[""Z3"", ""Z_3""]",real 3-by-3 matrix,A native analyzer character mode,,,3,,,,Source-recorded; original producer not re-executed in this sweep.,The canonical real three-by-three binary analyzer reflection with one positive and two negative eigenvalues. It acts on a chosen three-dimensional native character mode and is one member of a fixed distinct-axis pair normal form.,"Z3=diag(1,-1,-1)",Not the residue group Z_3. Its matrix size does not imply a three-element action.,"[""EPR"", ""HISTORICAL_FIVEFOLD""]"
analyzer-r3,Three-dimensional canonical analyzer R reflection,"[""R3"", ""R_3""]",real 3-by-3 matrix,The second analyzer in a canonical distinct-axis pair,,,3,,,,Source-recorded; original producer not re-executed in this sweep.,The second rational reflection in the canonical distinct-axis pair. Its noncommutation with Z3 is part of the represented analyzer calculation. The operator and its real three-dimensional domain require separate names.,"R3=[[-3/5,4/5,0],[4/5,3/5,0],[0,0,-1]]",Not the scalar vector space R^3 or the reverse relation R_c.,"[""EPR"", ""HISTORICAL_FIVEFOLD""]"
